position,lizard_id,trt,sex,current_enclosure,clutch,hatch_date,test_date,age,notes,day,test_type,pos_high_lat,pos_high_risk,choice,lat_high,lat_low,latency,time_high,time_low,compared_interest,ratio_interest,side_choice
A1,2882,A_23,m,E552_23,CL796_24,19/1/2024,18/5/2024,120,,1,1 VS 4,Right,Far,0,907,451,451,44,203,-159,-0.643724696,Left
A1,2940,B_28,m,E236_23,CL810_24,3/1/2024,18/5/2024,136,,1,1 VS 3,Left,Far,1,1150,3172,1150,225,156,69,0.181102362,Left
A1,2999,B_23,f,E659_23,CL823_24,28/1/2024,18/5/2024,111,,1,2 VS 3,Right,Close,1,2731,2838,2731,79,212,-133,-0.457044674,Right
A1,3061,A_28,f,E755_23,CL840_24,8/1/2024,18/5/2024,131,,1,1 VS 3,Left,Close,0,2770,795,795,162,300,-138,-0.298701299,Right
A2,2893,A_23,m,E338_23,CL798_24,24/1/2024,18/5/2024,115,,1,3 VS 4,Right,Close,1,141,454,141,288,252,36,0.066666667,Right
A2,3058,A_28,f,E171_23,CL839_24,10/1/2024,18/5/2024,129,,1,1 VS 4,Right,Far,0,2664,1139,1139,256,275,-19,-0.035781544,Left
A2,3127,B_23,f,E714_23,CL858_24,2/2/2024,18/5/2024,106,,1,2 VS 4,Left,Close,1,680,865,680,105,61,44,0.265060241,Left
A3,2946,A_23,m,E681_23,CL812_24,22/1/2024,18/5/2024,117,,1,2 VS 3,Left,Close,0,1058,169,169,244,241,3,0.006185567,Right
A3,2972,B_28,f,E261_23,CL818_24,5/1/2024,18/5/2024,134,,1,1 VS 4,Right,Far,0,673,357,357,122,138,-16,-0.061538462,Left
A3,2986,B_23,m,E648_23,CL821_24,28/1/2024,18/5/2024,111,,1,1 VS 3,Left,Far,0,519,124,124,223,229,-6,-0.013274336,Right
A3,3004,A_28,m,E161_23,CL824_24,8/1/2024,18/5/2024,131,,1,3 VS 4,Right,Close,0,2160,453,453,220,191,29,0.070559611,Left
A4,2917,A_23,m,E629_23,CL805_24,22/1/2024,18/5/2024,117,,1,2 VS 4,Left,Far,1,615,805,615,152,281,-129,-0.297921478,Left
A4,3037,B_28,f,E237_23,CL832_24,8/1/2024,18/5/2024,131,,1,3 VS 4,Right,Far,1,328,1882,328,300,188,112,0.229508197,Right
A4,3131,B_23,m,E3101_23,CL859_24,2/2/2024,18/5/2024,106,,1,1 VS 4,Right,Close,1,116,841,116,246,47,199,0.679180887,Right
B1,2942,A_28,m,E239_23,CL811_24,3/1/2024,18/5/2024,136,,1,2 VS 3,Left,Close,0,1432,658,658,169,290,-121,-0.263616558,Right
B1,2978,B_28,m,E677_23,CL819_24,5/1/2024,18/5/2024,134,Might be two clutches.,1,2 VS 3,Left,Close,1,781,NA,781,NA,NA,NA,NA,Left
B1,3110,B_23,f,E119_23,CL853_24,2/2/2024,18/5/2024,106,,1,3 VS 4,Right,Close,0,393,33,33,74,300,-226,-0.604278075,Left
B2,2811,B_28,m,E789_23,CL772_24,17/1/2024,18/5/2024,122,,1,2 VS 4,Right,Close,0,1379,392,392,192,293,-101,-0.208247423,Left
B2,2973,A_28,m,E735_23,CL818_24,5/1/2024,18/5/2024,134,,1,2 VS 4,Left,Close,0,1353,428,428,218,273,-55,-0.112016293,Right
B2,3003,B_23,f,E4005_23,CL824_24,31/1/2024,18/5/2024,108,,1,2 VS 3,Right,Far,1,48,1055,48,300,300,0,0,Right
B2,3035,A_23,m,E1017_23,CL832_24,24/1/2024,18/5/2024,115,,1,1 VS 3,Right,Close,1,1379,2660,1379,290,62,228,0.647727273,Right
B3,2898,A_23,f,E425_23,CL800_24,19/1/2024,18/5/2024,120,,1,1 VS 4,Left,Far,0,681,249,249,191,300,-109,-0.221995927,Right
B3,2915,B_23,m,E247_23,CL804_24,22/1/2024,18/5/2024,117,,1,2 VS 4,Right,Far,1,225,1103,225,294,276,18,0.031578947,Right
B3,3182,A_28,m,E802_23,CL870_24,17/1/2024,18/5/2024,122,,1,1 VS 3,Right,Far,0,1464,292,292,259,200,59,0.128540305,Left
