"","Test","Cold_CORT","Cold_Control","Hot_CORT","Hot_Control"
"1","1VS4","5.70788783632721","5.86448165081539","5.56567371321262","5.58629496718259"
"2","1VS4","5.9847036931462","5.95656705464111","6.14637188983738","5.11008263877665"
"3","1VS4","5.97266832728423","6.37080007008293","5.47230646990583","5.03645722562433"
"4","1VS4","5.84830880630696","6.28716339873103","6.24114784425605","5.72452378363705"
"5","1VS4","6.01515220729363","6.36637787233575","6.22536945334961","5.41020714293256"
"6","1VS4","5.98687046489048","6.65503843062438","5.95834023459111","6.11803127740743"
"7","1VS4","5.92125875769724","6.2261090135621","6.2902780219671","5.63069555861393"
"8","1VS4","6.26826666415073","5.86117112403779","6.02576127106416","5.48973039159014"
"9","1VS4","5.91970638898706","6.5736725314109","7.37595986675081","4.78595729616355"
"10","1VS4","6.1993529404106","6.29976317071824","6.28034484876865","5.79190143555553"
"11","1VS4","6.08744246060836","5.80581839317611","6.20773274251478","5.47879635611244"
"12","1VS4","6.31650277998207","6.07533114380009","6.24211615762211","5.31791742494439"
"13","1VS4","5.30961245229602","6.33535312536371","5.48652911901463","5.08194395586741"
"14","1VS4","5.84501267721235","5.96884540324656","6.50807293156626","5.68663450627056"
"15","1VS4","6.05489809839487","5.9713313179941","6.51941691048829","5.18501370887918"
"16","1VS4","5.65964253990758","6.29378744072459","6.31467429674509","5.26929801289984"
"17","1VS4","6.12717421066471","6.24007857245813","5.74608574571114","5.75279701439562"
"18","1VS4","6.19645303316386","6.41338520553592","6.3265668779785","5.55485798827457"
"19","1VS4","6.08590182613807","6.08909827679323","6.23294785907069","5.48263236668217"
"20","1VS4","5.4008374580885","6.1797157487617","5.97221165808452","5.54778285952463"
"21","1VS4","6.4400809741781","6.44131671174136","6.14648794415133","5.32556118467856"
"22","1VS4","6.41516436729483","6.0670596109403","6.06601498418756","5.05438108462788"
"23","1VS4","5.5603366868779","6.15954201439135","5.26416625455557","5.39648800915861"
"24","1VS4","5.92262579690136","6.21257719885608","6.05761280670662","5.28645057562547"
"25","1VS4","6.53143944076758","5.87153956570556","5.9334123267786","5.410473347629"
"26","1VS4","5.54266653751583","6.32594611579432","5.84375924549945","5.8166556941559"
"27","1VS4","6.24611106584648","6.03636762351555","6.01396107503805","5.1796692050169"
"28","1VS4","5.49633818325038","6.09671812252001","6.60143104336792","5.78230061907049"
"29","1VS4","6.07861146651376","6.33335085931323","5.88362585107685","5.01067440107125"
"30","1VS4","6.00281342148683","6.21071197522559","5.5732660160599","5.03106418623071"
"31","1VS4","6.20292646519072","6.00358417902492","5.96613771140093","5.86064113030451"
"32","1VS4","6.04142570043621","6.42954708506192","6.11419543949659","4.91491847673275"
"33","1VS4","6.32091120270992","6.01445060968618","6.42187975752314","5.74233654589875"
"34","1VS4","5.66737792441731","5.89151669288234","5.84338554504067","5.2855675770582"
"35","1VS4","5.99609326213004","6.0211047082409","5.58345825412286","5.46989115446256"
"36","1VS4","5.92263126441669","6.50497107385188","5.50970647003947","5.02070991028989"
"37","1VS4","5.99818467885961","6.51338033123429","5.77254175856647","5.57764040440659"
"38","1VS4","5.64008063470486","6.31892924541671","5.3950445798336","5.38052287129584"
"39","1VS4","6.1174696693162","5.88443369148976","5.73389493103339","5.43641849143034"
"40","1VS4","6.27882431079938","5.91827101845049","5.59691669974382","5.65143437770694"
"41","1VS4","6.06561225381448","6.54550963230953","6.49460088844506","4.99522338484082"
"42","1VS4","6.18121810415359","6.28464862195994","6.44083000368469","4.92752697788645"
"43","1VS4","5.70378628322748","5.91733397722647","5.72451411074083","5.42805524259379"
"44","1VS4","6.15298570989782","5.97601613148412","5.75731828694701","5.18914272906071"
"45","1VS4","5.69277485240354","6.89230595701949","6.22733680804776","5.25592129377251"
"46","1VS4","6.026451978199","6.11948557503615","5.88718692479497","5.87372012614411"
"47","1VS4","5.69306945962895","6.0272692170774","6.33242062126191","5.51246153704015"
"48","1VS4","5.85306744901757","6.26177579286909","5.91754705016994","5.08141440887647"
"49","1VS4","5.90694038324815","5.95285697073538","6.04795980092017","5.22943317366382"
"50","1VS4","5.90106498238715","6.03097000167655","6.09066590636994","5.26579509399616"
"51","1VS4","5.30526266152816","6.49889386218424","6.27677662135381","4.652694980677"
"52","1VS4","6.08159758855855","5.73364246190195","6.11637413001442","5.53872711882091"
"53","1VS4","6.10646148226654","5.9575636170185","5.72881215601094","5.13638516431534"
"54","1VS4","6.26250739360724","6.16255130086409","5.59202924190562","6.15383318892648"
"55","1VS4","5.98813001001864","5.79195440459883","6.11331254564333","5.66989803786956"
"56","1VS4","5.83890810622176","6.48974108524042","5.84574270349829","5.16390895372448"
"57","1VS4","6.10665471529195","6.45791511626814","7.06352486512417","4.99172822202856"
"58","1VS4","5.9321538239199","6.07847631370405","6.03219185113043","5.56350198294034"
"59","1VS4","6.19973220007747","6.19405287688309","5.93367488686593","5.48560401937834"
"60","1VS4","5.82366776390853","5.70986649022223","6.40668754904645","5.13838162552072"
"61","1VS4","5.74915323732967","5.75058085090364","6.68891929514417","5.4064753979538"
"62","1VS4","6.09449472651885","6.36649360286881","5.89625016259315","5.29984783625277"
"63","1VS4","6.14131495652313","6.18107907297254","5.98635901098832","4.74814007426367"
"64","1VS4","5.5158475574355","6.01823991966584","5.10218883625896","5.69843154861798"
"65","1VS4","5.83761658653314","5.79287142809837","6.07946610606725","5.49577979580688"
"66","1VS4","5.95129290944881","6.20620040083494","5.47389666878344","5.32116257370822"
"67","1VS4","6.22700523558684","6.07973023891076","6.05380449587029","5.39950924294868"
"68","1VS4","5.24909648536844","6.18986950331664","5.49814420048663","5.20041362703385"
"69","1VS4","6.3389376707171","6.12524043119765","5.94894715059631","5.13921612832206"
"70","1VS4","6.27505886642029","6.500074206043","6.05479285753008","5.546698546947"
"71","1VS4","6.36545997745136","5.41154000035058","5.48423239732226","5.28908913544247"
"72","1VS4","5.36424727133869","5.87766840385403","6.63017879164359","5.43867912600791"
"73","1VS4","5.81304774138137","5.86049607767659","5.95501657328148","5.19753041469213"
"74","1VS4","5.87069708538834","5.99860175794862","6.22234261205791","5.40338957111833"
"75","1VS4","6.05328782673438","5.95591945147578","5.5239678949123","5.06921316275004"
"76","1VS4","6.14876443503321","6.13608410798732","6.03394708255623","4.88871987544258"
"77","1VS4","5.75341774148255","6.50411393761334","5.77102239982344","5.9539656593393"
"78","1VS4","6.1451328635888","5.90207053474677","5.75603669624884","5.46306368067037"
"79","1VS4","6.1080585534055","6.12142061917733","5.51705559593599","5.49515304963281"
"80","1VS4","6.33917200282016","6.12092111409248","5.74351213057392","6.0773888305894"
"81","1VS4","6.38342241543493","6.12733986453894","5.85137300755993","5.23921849000553"
"82","1VS4","5.46071779502124","6.14119873420242","6.03634133060852","5.28616123692257"
"83","1VS4","5.65903863946064","6.1975447466348","6.11625188434559","5.09810938194923"
"84","1VS4","5.80115072489301","6.1144740811805","5.71088753775349","5.59237976343781"
"85","1VS4","5.91676499678826","5.9956893422795","6.10752689228898","5.01913129985075"
"86","1VS4","5.99395295770492","6.12181899112409","6.33091076294605","5.54165617863559"
"87","1VS4","5.37111995344703","6.03193137425155","6.31118252738445","5.29733716337708"
"88","1VS4","5.88621630202502","5.88245731348383","6.03868126509911","5.42206076865022"
"89","1VS4","5.64523475216575","6.2949501064535","5.89272016672682","4.99463051628169"
"90","1VS4","5.82922689855773","5.90666868380139","6.68440472421765","5.19871481690382"
"91","1VS4","6.10925397810817","6.00700800597174","5.31925301173045","5.19457737730872"
"92","1VS4","6.23222068810386","5.95402551979984","6.14136694240052","5.46700031298584"
"93","1VS4","6.59647860727042","6.34119403766128","5.77648085060459","5.56127616537627"
"94","1VS4","5.97523394206289","6.32726787240615","6.39825015135777","4.79954973639379"
"95","1VS4","5.66378232535063","6.02218141718486","5.99049246291328","5.60076237535995"
"96","1VS4","6.22009686578211","6.03580679345703","5.98156874527899","5.37764954399224"
"97","1VS4","5.16432431141071","5.71330154356217","6.07540156149724","5.33951275896393"
"98","1VS4","6.08608317197917","6.30920715994797","5.85982788690706","5.35435063122015"
"99","1VS4","6.087437594382","6.27189154544053","6.13486586455769","5.38914303186412"
"100","1VS4","5.80690052416326","6.1382236212029","6.13200712277535","5.78019221640623"
"101","1VS4","5.86289575853285","6.1012601368927","6.00041786596883","5.49681031361156"
"102","1VS4","6.11735823543238","6.22065201046242","6.32502191616895","5.95233533158071"
"103","1VS4","5.74951054451302","6.46008033196628","5.84181155204973","5.12141446005217"
"104","1VS4","5.90000691517746","6.28637779111127","5.73379326958465","5.63465416418074"
"105","1VS4","5.81101932570228","6.14015485774832","5.94974087691659","5.28082449364811"
"106","1VS4","5.97954861086287","6.32809195636152","6.01756813172868","5.89559221718549"
"107","1VS4","6.15478171523405","6.06772497661734","6.09070531340979","5.65551597378546"
"108","1VS4","6.09966272009965","5.62420086054701","5.86335805947567","4.61314099331925"
"109","1VS4","5.88932203719592","6.04218607475002","5.29625337478162","5.24395839772325"
"110","1VS4","5.83897661443196","6.15871171148264","5.53423096634648","5.20519078560712"
