"","Test","Treatment","mean_estimate","sd_estimate"
"1","1VS4","Cold_CORT (n = 20)",6.2645090885763,0.390163601534263
"2","1VS4","Cold_Control (n = 20)",6.32688369686239,0.367913114853093
"3","1VS4","Hot_CORT (n = 20)",6.28323633426358,0.387949213709416
"4","1VS4","Hot_Control (n = 20)",5.59833321197208,0.377355346200346
"5","1VS3","Cold_CORT (n = 20)",6.23215422110827,0.390969358962857
"6","1VS3","Cold_Control (n = 20)",6.3436284301183,0.373380860486097
"7","1VS3","Hot_CORT (n = 20)",6.23283034923393,0.375579539382069
"8","1VS3","Hot_Control (n = 20)",5.83580399538569,0.379681720166312
"9","2VS4","Cold_CORT (n = 20)",6.13101256378731,0.389738508804931
"10","2VS4","Cold_Control (n = 20)",6.35558168016473,0.367463797252515
"11","2VS4","Hot_CORT (n = 20)",5.97209206570841,0.378139620018589
"12","2VS4","Hot_Control (n = 20)",5.73150128596902,0.379630442276815
"13","2VS3","Cold_CORT (n = 20)",6.23501391232637,0.391861125325207
"14","2VS3","Cold_Control (n = 20)",6.26641869289578,0.365228099524426
"15","2VS3","Hot_CORT (n = 20)",6.01905521613108,0.377151366151486
"16","2VS3","Hot_Control (n = 20)",5.66196990986192,0.379159149757156
"17","3VS4","Cold_CORT (n = 20)",6.17498318983268,0.394283004008557
"18","3VS4","Cold_Control (n = 20)",5.87004845809624,0.370948633965142
"19","3VS4","Hot_CORT (n = 20)",6.11036406058042,0.385574419529418
"20","3VS4","Hot_Control (n = 20)",5.77451879149495,0.38226216081482
