"","variable","mean","median","sd","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_loglatency_Intercept",6.49226760877943,6.4931555436014,0.322740707661886,5.96016901936753,7.02359146344294,1.00086855658547,2071.24409417059,3570.22395619253
"2","b_loglatency_test_type1VS3",-0.0368962155630934,-0.0378041565971696,0.207922612844545,-0.371315615643442,0.311464869431513,1.00193197300183,2771.37359537626,4352.72786144787
"3","b_loglatency_test_type2VS4",-0.135774171187112,-0.134141650546883,0.20653575690071,-0.468118273969457,0.209073026149534,1.00240801531978,2615.83100607874,3907.03954818148
"4","b_loglatency_test_type2VS3",-0.0321879862244061,-0.0337165437169272,0.211376525372709,-0.382831352383663,0.316079921540568,1.0013446903939,2901.29268739172,3684.05978304073
"5","b_loglatency_test_type3VS4",-0.0889464988005962,-0.0906923397732876,0.21170326355986,-0.436489139192689,0.262637174961566,1.00177317058345,2831.2655456561,4527.68637949266
"6","b_loglatency_tempHot",0.0160426232721194,0.0152539368648592,0.45235981106014,-0.725629058658126,0.764339993485712,1.00074076242317,2032.04900229585,2980.11400511935
"7","b_loglatency_cortControl",0.0596268764876548,0.0614716940344479,0.359214574914548,-0.543519176297765,0.652778538970759,1.00033247179891,1836.38411146715,3514.26818677037
"8","b_loglatency_sexm",-0.4551294471125,-0.457164954980197,0.220452200136814,-0.81809872276169,-0.0945340151156962,1.00006623714165,3054.39673438577,4396.21763052835
"9","b_loglatency_age",0.0593276727136917,0.0594242965988595,0.0233060222227252,0.0211043637768496,0.0976132594115202,1.00177936360708,2481.7801706452,4429.14823987379
"10","b_loglatency_test_type1VS3:tempHot",-0.0150113381506165,-0.0183746564914122,0.302413381701788,-0.512192731924326,0.481622621034115,1.00169728914408,2756.44388424922,4490.06124268277
"11","b_loglatency_test_type2VS4:tempHot",-0.168290330334709,-0.168782598822905,0.30404828399264,-0.664596675102051,0.321972258923589,1.0023089404912,2854.92887647582,4433.3467772824
"12","b_loglatency_test_type2VS3:tempHot",-0.229549680884398,-0.232104855485973,0.30730364719223,-0.733925198155796,0.270201656818834,1.00123146298847,2845.63311550226,4085.05221676745
"13","b_loglatency_test_type3VS4:tempHot",-0.0835272148807516,-0.0807642335672626,0.313429150516134,-0.604390134839268,0.419668003038043,1.00248860909502,2986.22981750517,4503.68883762978
"14","b_loglatency_test_type1VS3:cortControl",0.0572131354641339,0.0571117661073579,0.29843189762972,-0.432369136500338,0.547749414941524,1.00225286945967,2619.82657846586,3829.52677610078
"15","b_loglatency_test_type2VS4:cortControl",0.172264007333333,0.178349308900033,0.293782032150936,-0.317938991872073,0.649706170125443,1.00145666208311,2649.30600800799,4062.60461940187
"16","b_loglatency_test_type2VS3:cortControl",-0.0211881115781707,-0.0198893178673507,0.299144733412671,-0.511256398530043,0.475340721283044,1.00210026503136,2822.71671739832,4811.20450491173
"17","b_loglatency_test_type3VS4:cortControl",-0.369098213318361,-0.368447392822523,0.299322659901518,-0.864850956077367,0.116722382967167,1.0021087617552,2813.9006365258,4386.15382604078
"18","b_loglatency_tempHot:cortControl",-0.743548197200465,-0.752958905062105,0.497529567538336,-1.53959217722479,0.0803490918690091,1.00101564756716,1843.38444728243,3193.06602852479
"19","b_loglatency_test_type1VS3:tempHot:cortControl",0.232583968752336,0.240386606659169,0.427405228631587,-0.472649735083293,0.923550337748247,1.00241261216103,2753.87654510701,4364.78535498892
"20","b_loglatency_test_type2VS4:tempHot:cortControl",0.258379364152488,0.25818866315354,0.423206034276439,-0.430513207163366,0.951141434042209,1.0017404109157,2792.41211944247,4434.53175696488
"21","b_loglatency_test_type2VS3:tempHot:cortControl",0.349097832061054,0.346313220241643,0.429158240758458,-0.351821734147591,1.04153930239005,1.00201788159049,2765.03767603817,4682.75031277257
"22","b_loglatency_test_type3VS4:tempHot:cortControl",0.721610938239135,0.7246153018516,0.432041172751382,0.0180285882407194,1.44121573610405,1.00362777747716,2837.93350822264,4181.81647108236
"23","sd_clutch__loglatency_Intercept",0.340254264968999,0.336920358215378,0.194926613251656,0.0391859814425678,0.669496307333954,1.00999883407219,532.351687752756,1880.91375269889
"24","sd_lizard_id__loglatency_Intercept",0.80892198918556,0.807381943932834,0.100443463589031,0.646785861917863,0.975668920364485,1.00245471416961,1191.94969605397,3035.04121811038
"25","sigma_loglatency",0.650615776328419,0.649568529986584,0.0275837687769691,0.606424231850445,0.69701531623507,1.00008198422358,8029.46876785846,5832.5403708668
