"","variable","mean","median","sd","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_loglatency_Intercept",6.49226760877943,6.4931555436014,0.322740707661886,5.96016901936753,7.02359146344294,1.00086855658547,2071.24409417059,3570.22395619253
"2","b_choice_Intercept",-0.691573993214806,-0.687576156813568,0.588919443471246,-1.67796294913438,0.259308601464742,1.00033994431738,2703.55536869891,3819.81152440685
"3","b_comparedinterest_Intercept",12.1652539748771,12.0091091047204,20.0108668699463,-20.6493729193567,45.4368951360138,1.00042928613242,2632.39341230968,4455.41746358049
"4","b_loglatency_test_type1VS3",-0.0368962155630934,-0.0378041565971696,0.207922612844545,-0.371315615643442,0.311464869431513,1.00193197300183,2771.37359537626,4352.72786144787
"5","b_loglatency_test_type2VS4",-0.135774171187112,-0.134141650546883,0.20653575690071,-0.468118273969457,0.209073026149534,1.00240801531978,2615.83100607874,3907.03954818148
"6","b_loglatency_test_type2VS3",-0.0321879862244061,-0.0337165437169272,0.211376525372709,-0.382831352383663,0.316079921540568,1.0013446903939,2901.29268739172,3684.05978304073
"7","b_loglatency_test_type3VS4",-0.0889464988005962,-0.0906923397732876,0.21170326355986,-0.436489139192689,0.262637174961566,1.00177317058345,2831.2655456561,4527.68637949266
"8","b_loglatency_tempHot",0.0160426232721194,0.0152539368648592,0.45235981106014,-0.725629058658126,0.764339993485712,1.00074076242317,2032.04900229585,2980.11400511935
"9","b_loglatency_cortControl",0.0596268764876548,0.0614716940344479,0.359214574914548,-0.543519176297765,0.652778538970759,1.00033247179891,1836.38411146715,3514.26818677037
"10","b_loglatency_sexm",-0.4551294471125,-0.457164954980197,0.220452200136814,-0.81809872276169,-0.0945340151156962,1.00006623714165,3054.39673438577,4396.21763052835
"11","b_loglatency_age",0.0593276727136917,0.0594242965988595,0.0233060222227252,0.0211043637768496,0.0976132594115202,1.00177936360708,2481.7801706452,4429.14823987379
"12","b_loglatency_test_type1VS3:tempHot",-0.0150113381506165,-0.0183746564914122,0.302413381701788,-0.512192731924326,0.481622621034115,1.00169728914408,2756.44388424922,4490.06124268277
"13","b_loglatency_test_type2VS4:tempHot",-0.168290330334709,-0.168782598822905,0.30404828399264,-0.664596675102051,0.321972258923589,1.0023089404912,2854.92887647582,4433.3467772824
"14","b_loglatency_test_type2VS3:tempHot",-0.229549680884398,-0.232104855485973,0.30730364719223,-0.733925198155796,0.270201656818834,1.00123146298847,2845.63311550226,4085.05221676745
"15","b_loglatency_test_type3VS4:tempHot",-0.0835272148807516,-0.0807642335672626,0.313429150516134,-0.604390134839268,0.419668003038043,1.00248860909502,2986.22981750517,4503.68883762978
"16","b_loglatency_test_type1VS3:cortControl",0.0572131354641339,0.0571117661073579,0.29843189762972,-0.432369136500338,0.547749414941524,1.00225286945967,2619.82657846586,3829.52677610078
"17","b_loglatency_test_type2VS4:cortControl",0.172264007333333,0.178349308900033,0.293782032150936,-0.317938991872073,0.649706170125443,1.00145666208311,2649.30600800799,4062.60461940187
"18","b_loglatency_test_type2VS3:cortControl",-0.0211881115781707,-0.0198893178673507,0.299144733412671,-0.511256398530043,0.475340721283044,1.00210026503136,2822.71671739832,4811.20450491173
"19","b_loglatency_test_type3VS4:cortControl",-0.369098213318361,-0.368447392822523,0.299322659901518,-0.864850956077367,0.116722382967167,1.0021087617552,2813.9006365258,4386.15382604078
"20","b_loglatency_tempHot:cortControl",-0.743548197200465,-0.752958905062105,0.497529567538336,-1.53959217722479,0.0803490918690091,1.00101564756716,1843.38444728243,3193.06602852479
"21","b_loglatency_test_type1VS3:tempHot:cortControl",0.232583968752336,0.240386606659169,0.427405228631587,-0.472649735083293,0.923550337748247,1.00241261216103,2753.87654510701,4364.78535498892
"22","b_loglatency_test_type2VS4:tempHot:cortControl",0.258379364152488,0.25818866315354,0.423206034276439,-0.430513207163366,0.951141434042209,1.0017404109157,2792.41211944247,4434.53175696488
"23","b_loglatency_test_type2VS3:tempHot:cortControl",0.349097832061054,0.346313220241643,0.429158240758458,-0.351821734147591,1.04153930239005,1.00201788159049,2765.03767603817,4682.75031277257
"24","b_loglatency_test_type3VS4:tempHot:cortControl",0.721610938239135,0.7246153018516,0.432041172751382,0.0180285882407194,1.44121573610405,1.00362777747716,2837.93350822264,4181.81647108236
"25","b_choice_test_type1VS3",0.249892595686226,0.248333474665812,0.684931590903475,-0.866352696606185,1.3841194174768,1.00022618243321,2985.01465705873,4184.87137866078
"26","b_choice_test_type2VS4",0.709694316850878,0.70650158587199,0.698053686902913,-0.425535400945012,1.86919004561835,1.00016105064878,2954.09670305887,4066.40526747019
"27","b_choice_test_type2VS3",1.11253451698662,1.11114112506036,0.712639949335796,-0.0383372860053608,2.30196478494605,1.00049286391586,2964.00658440482,4516.92725018363
"28","b_choice_test_type3VS4",0.343534742273929,0.347500109171294,0.695690259851227,-0.819013957305674,1.48153900144221,1.00031487637654,3042.32115489082,4121.54036565204
"29","b_choice_tempHot",1.15363725300978,1.1515416406407,0.843593649147484,-0.215680193488648,2.56191519710428,1.00013548964909,2382.43175458338,4061.05011903672
"30","b_choice_cortControl",0.629983177629913,0.627874181172041,0.729984639891901,-0.556881971682939,1.86046359355696,1.0007051614013,2360.79973380923,3624.77528367052
"31","b_choice_sexm",-0.0572761134354018,-0.0582602066989262,0.293740128027612,-0.539988881565846,0.425421451958567,1.00083250673836,8686.37228283186,6377.03690792411
"32","b_choice_age",-0.0393361198396746,-0.0391329879362993,0.0310196629982939,-0.0903475030129257,0.0110782727227509,0.999919361194842,8128.52585536948,6012.43274953616
"33","b_choice_test_type1VS3:tempHot",0.776272922517621,0.78029533958343,1.02662021017981,-0.915139697136107,2.46138433855135,0.999984263241061,2898.75701025529,5049.10256091941
"34","b_choice_test_type2VS4:tempHot",-1.34443063814079,-1.33646938478772,1.01265764720552,-2.98635846430137,0.295021790576091,1.00010345580769,2769.25742235934,4581.34026314913
"35","b_choice_test_type2VS3:tempHot",-1.77526494253941,-1.76083477215512,1.03499608935675,-3.52376725567908,-0.075625946319993,1.00029000843417,2719.53738304616,4297.32048950237
"36","b_choice_test_type3VS4:tempHot",-0.152152235557161,-0.156773415970611,1.02420580331772,-1.82584419333221,1.55515332046781,1.00005508300809,2879.61158552462,4520.38329016923
"37","b_choice_test_type1VS3:cortControl",0.45171826609943,0.453782176137593,0.981403239757034,-1.15627274790861,2.07652303925645,1.00004303146492,3050.18199410367,4601.0370856634
"38","b_choice_test_type2VS4:cortControl",-0.709881660555583,-0.728026761786062,0.984645535762526,-2.36176977945347,0.913933227995724,1.0008096249638,3107.45898908736,5177.82274836843
"39","b_choice_test_type2VS3:cortControl",0.153673822197963,0.149545675802889,1.02954604110792,-1.53110002477142,1.88053068103774,1.0003362645953,3093.48751453298,5006.63420131545
"40","b_choice_test_type3VS4:cortControl",0.122535573325511,0.118383295153085,0.965856503070213,-1.49551796019912,1.68716967815052,1.00012764612207,2946.31353899131,4456.77158933681
"41","b_choice_tempHot:cortControl",-1.345221408245,-1.34681917237674,1.04672571490742,-3.10247321177934,0.369605557178334,1.00153999816485,2194.60973626785,3511.17039923977
"42","b_choice_test_type1VS3:tempHot:cortControl",-0.621572440880305,-0.610595629093676,1.42552693310746,-2.99182120191864,1.71365023273256,1.00003859276609,2964.85284780804,4780.13293319223
"43","b_choice_test_type2VS4:tempHot:cortControl",1.81388592714759,1.82379515817352,1.40294599255461,-0.491591427047296,4.10863056251295,1.00006689987687,2759.0469762457,4255.49091030455
"44","b_choice_test_type2VS3:tempHot:cortControl",0.258109877954054,0.251025326996094,1.46758991740072,-2.15447412139297,2.68567991805389,1.00007133232881,2939.5953016454,4817.90405304488
"45","b_choice_test_type3VS4:tempHot:cortControl",0.810907120694259,0.792885591113168,1.40538551440752,-1.48212575252879,3.13143484493101,1.00020364560486,2898.5488576303,5175.76819311464
"46","b_comparedinterest_test_type1VS3",-26.7869196140392,-26.5174811246557,24.9723899720137,-67.9485451871345,13.7772924075286,1.00095947900457,2875.8153867415,4562.67569020959
"47","b_comparedinterest_test_type2VS4",5.08195602102329,4.96251479534466,24.8773707294059,-35.8082953024994,46.4857352833686,0.99998855981865,2775.06266227614,4479.65837391016
"48","b_comparedinterest_test_type2VS3",-16.9576933697608,-16.9585519930264,25.7609780973922,-59.1422853347607,25.1555672300796,1.00031072642034,2885.3307427222,4934.84882865471
"49","b_comparedinterest_test_type3VS4",-37.9624895898733,-37.7886100750917,25.3373616084861,-79.5691076580827,3.45582611007214,1.00015744899442,3070.25642307336,4785.53513291318
"50","b_comparedinterest_tempHot",-20.7896476666057,-20.6345163766123,28.7391031301918,-68.2776022124494,26.5482756710076,1.00057575144832,2216.8497537973,4521.3613137547
"51","b_comparedinterest_cortControl",-9.83522970052511,-9.83242119747686,25.5487523806345,-51.8860355853263,32.119705750687,1.00034978905097,2144.94536094457,4058.44458326367
"52","b_comparedinterest_sexm",-8.68994846654348,-8.74464072652844,9.22549899224011,-23.7144943908372,6.42961030188177,1.00010502408696,12071.4692434909,6235.52121992032
"53","b_comparedinterest_age",-0.669141162499981,-0.679083905004376,0.962765016699192,-2.23729027020123,0.926132495272772,1.00049883498089,10745.4447198864,6548.17595093104
"54","b_comparedinterest_test_type1VS3:tempHot",70.5780802173212,70.4591752064265,35.4516074687797,12.9063754464526,128.907087842788,1.00015778913659,2672.94447783411,4310.73165242925
"55","b_comparedinterest_test_type2VS4:tempHot",-1.98524559560928,-1.75546218247573,35.9585601517264,-60.8520837874149,56.9739753035383,1.00038284757723,2745.44868264107,4578.30766431464
"56","b_comparedinterest_test_type2VS3:tempHot",33.6338549292928,33.3922384017503,36.7411745575809,-26.1401130701998,93.8799536704502,1.00035914940456,2647.24807863061,4123.83012065479
